Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2019,7,"5,12,63,872","1,51,32,884","6,63,96,757"
2019,8,"4,96,89,463","1,45,42,864","6,42,32,327"
2019,9,"4,28,27,515","1,19,36,771","5,47,64,287"
2019,10,"4,62,67,842","1,15,80,875","5,78,48,717"
2019,11,"4,29,71,978","98,33,308","5,28,05,287"
2019,12,"4,71,88,026","1,11,34,327","5,83,22,353"
2019,TOTAL,"54,67,34,337","14,28,38,859","68,95,73,196"
2020,1,"4,19,55,560","1,15,31,372","5,34,86,932"
2020,2,"3,98,89,243","87,61,000","4,86,50,243"
2020,3,"2,29,82,200","53,28,152","2,83,10,353"
2020,4,"19,52,747","1,48,147","21,00,894"
2020,5,"48,69,675","2,12,684","50,82,358"
2020,6,"1,00,52,668","4,21,680","1,04,74,348"
2020,7,"1,46,67,161","8,98,405","1,55,65,566"
2020,8,"1,58,16,966","13,07,851","1,71,24,817"
2020,9,"1,55,94,509","12,94,935","1,68,89,444"
2020,10,"1,83,56,651","16,58,120","2,00,14,771"
2020,11,"1,75,03,443","19,64,240","1,94,67,683"
2020,12,"1,83,63,896","23,71,342","2,07,35,238"
2020,TOTAL,"22,20,04,720","3,58,97,928","25,79,02,647"
2021,1,"1,64,44,404","30,84,869","1,95,29,273"
2021,2,"1,63,54,635","18,91,448","1,82,46,083"
2021,3,"2,61,68,708","29,07,780","2,90,76,488"
2021,4,"2,95,11,251","34,01,130","3,29,12,381"
2021,5,"3,57,46,460","39,11,558","3,96,58,017"
2021,6,"4,06,82,023","49,69,116","4,56,51,139"
2021,7,"4,54,93,311","64,97,656","5,19,90,967"
2021,8,"4,19,05,028","71,10,235","4,90,15,262"
2021,9,"3,67,05,805","52,21,193","4,19,26,997"
2021,10,"4,07,21,439","54,02,068","4,61,23,507"
2021,11,"4,03,17,687","59,67,847","4,62,85,534"
2021,12,"4,09,59,466","67,76,740","4,77,36,205"
2021,TOTAL,"41,10,10,216","5,71,41,639","46,81,51,855"
2022,1,"3,13,75,748","64,09,606","3,77,85,353"
2022,2,"3,31,83,140","55,19,158","3,87,02,298"
2022,3,"4,38,13,988","77,56,547","5,15,70,535"
2022,4,"4,30,52,756","90,66,415","5,21,19,171"
2022,5,"4,50,79,351","97,01,194","5,47,80,545"
2022,6,"4,50,19,423",,
2022,7,"4,64,24,714",,
2022,8,"4,50,64,456",,
2022,TOTAL,"33,30,13,575","3,84,52,919","23,49,57,902"
,,,,
Note: All numbers are for scheduled services. Details may not add due to rounding.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
